label,prev_1,prev_2,prev_3,prev_4,prev_5
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,1.0
0.0,2.0,0.0,2.0,0.0,2.0
1.0,0.0,1.0,0.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,1.0,2.0,1.0,2.0
2.0,0.0,2.0,0.0,2.0,0.0
2.0,1.0,2.0,1.0,2.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0
0.0,1.0,2.0,0.0,1.0,2.0
0.0,2.0,0.0,0.0,2.0,0.0
0.0,2.0,1.0,0.0,2.0,1.0
0.0,2.0,2.0,0.0,2.0,2.0
1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0
1.0,0.0,2.0,1.0,0.0,2.0
1.0,1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,2.0,1.0,1.0,2.0
1.0,2.0,0.0,1.0,2.0,0.0
1.0,2.0,1.0,1.0,2.0,1.0
1.0,2.0,2.0,1.0,2.0,2.0
2.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,1.0,2.0,0.0,1.0
2.0,0.0,2.0,2.0,0.0,2.0
2.0,1.0,0.0,2.0,1.0,0.0
2.0,1.0,1.0,2.0,1.0,1.0
2.0,1.0,2.0,2.0,1.0,2.0
2.0,2.0,0.0,2.0,2.0,0.0
2.0,2.0,1.0,2.0,2.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0
